Keyboard,Switches,Build quality,Price,Layout,Keycaps,Other,Typing,Gaming,All purpose
Logitech,4,5,3,1,2,,,,2
Vortex,,,,,2,,,,2
Apple,4,,,,,,3,,
Max Keyboard,,,3,,,,3,,
Apple,,5,,,,,3,,
Max Keyboard,,,3,,,,,1,
Apple,4,,,,,,3,,
Apple,,,3,1,,,3,,
Apple,,5,,,,,,1,
Apple,,5,,,,,3,,
Dell,,5,,,,,,1,
Apple,4,5,3,1,2,,3,1,2
Logitech,4,5,,,,,,,2
Cherry,,,,1,,,,,2
,,5,,,,,,,2
Logitech,4,5,3,,2,,,1,2
Logitech,4,5,3,,,,3,1,
Dell,4,5,3,,2,,3,1,2
Logitech,,5,,,,,3,,
Apple,4,,,,,,,,2
Logitech,,5,,,,,3,,
Apple,4,,,,,,3,,
Apple,4,,,,2,,3,,
Dell,4,,,1,2,,,,2
Apple,4,5,,,,,3,1,
Apple,,5,,,,,,1,
Apple,,,,,2,,3,,
Apple,4,,3,,,,3,,
Apple,,5,,,,,3,,
Dell,,5,,,,,3,,
Logitech,4,5,,1,,,,1,
Dell,4,,,1,2,,3,,
IBM,4,5,3,,,,3,1,2
Apple,,5,3,1,2,,3,1,2
Dell,,,,1,2,,,1,
Dell,4,5,,,,,,,2
Apple,,5,,,,,,1,
Das Keyboard,,5,,,,,3,,
Apple,,5,,,,,,1,
Dell,,5,3,,,,3,,
Logitech,4,5,3,1,2,,3,1,
Das Keyboard,,,,,2,,3,,
Apple,4,5,3,1,2,,3,1,
Dell,4,5,3,,,,,,2
Apple,,,3,,,,,,2
IBM,4,,,,,,3,,2
KeyCool,4,,,,,,3,,
Logitech,,,3,,,,,,2
Dell,4,5,,,2,,3,,2
Dell,,5,3,,2,,3,,
Apple,4,5,3,1,2,,3,1,2
,,5,,,,,,,2
Logitech,4,5,,,2,,,,2
Apple,4,5,3,1,2,,3,,
Dell,4,5,,,2,,3,1,
Apple,,,3,,,,3,,
Cherry,4,5,3,,,,,,2
Apple,4,,,,,,,1,
Apple,4,,,,,,3,,2
Dell,4,,,1,2,,3,,2
Logitech,4,5,,,,,3,1,
Logitech,,5,,,,,,,2
Logitech,,5,3,1,,,,,2
Logitech,,,,,2,,3,,
Apple,4,5,3,1,2,,,,2
IBM,4,5,3,1,2,,,,2
KeyCool,,5,,,,,3,,
Logitech,,5,3,1,2,,3,,
Logitech,4,5,,,,,3,,2
Logitech,,,3,,,,,,2
Dell,4,5,3,1,2,,3,,2
Logitech,,5,3,1,,,3,,
Logitech,4,5,3,,,,,,2
Dell,,,,1,,,,,2
Logitech,4,,3,,2,,3,1,
Logitech,,5,3,,2,,3,,2
Logitech,,,,1,,,,,2
Logitech,,,3,,2,,3,,
Logitech,4,5,3,1,2,,,,2
Cherry,4,,,1,2,,3,,
Apple,4,,,,,,,1,
Dell,,5,,,,,,,2
Dell,4,5,3,1,,,3,,
Apple,,5,,,,,3,,
Dell,4,5,3,1,2,,3,,
Logitech,4,,,,,,,,2
Dell,4,5,3,1,2,,,1,2
,,5,3,,,Fn key,,,2
Logitech,,5,3,1,,,,,2
Dell,,5,3,,,,,,2
,4,5,3,1,2,,3,,
Apple,4,5,3,1,2,,3,,
,4,5,,1,,,,,2
,4,5,3,1,2,,3,1,2
Apple,,,,1,,,3,,
Filco,4,5,,1,2,,3,,2
Dell,,5,3,,,,,,2
Apple,,,3,,,,,,2
Dell,,5,3,,,,3,,
Das Keyboard,,5,,,,,3,,
Logitech,,,,1,2,,3,,
Logitech,,5,3,,,,3,,2
Logitech,4,5,3,1,2,,3,1,2
Dell,,5,,,,,3,,
,,,3,,,,,,2
Logitech,,,3,1,,,3,,2
Apple,,,3,,,,,,2
Dell,,,3,,,,,,2
IBM,4,,,1,2,,3,,
IBM,,5,,,,,,1,
IBM,,,,,2,,,,2
Logitech,4,5,3,,,,3,,
Apple,4,,,,,,,,2
Logitech,4,5,3,1,2,,3,1,2
IBM,4,5,3,1,2,,,,2
Logitech,,5,3,,,,,,2
Apple,4,,3,,2,,3,,
Logitech,4,5,3,,,,,,2
