Mouse,Portability,Scrolling Capability,Works on Many Surfaces.,Customizable Buttons & Gestures,"Compatibility with with devices like iPads, Android tablets, Windows 8 tablets, etc.",RGB Lighting
Logitech,2,3,3,3,3,3
Logitech,1,1,1,1,1,1
Microsoft Surface Mouse,2,2,2,2,2,2
Microsoft Surface Mouse,1,1,1,1,1,1
Microsoft Surface Mouse,2,2,2,2,2,2
Logitech,2,2,2,2,2,2
Apple Magic Mouse,3,3,3,3,3,3
Razer DeathAdder Chroma,2,1,2,2,2,1
Apple Magic Mouse,2,2,2,2,1,1
Apple Magic Mouse,2,3,3,2,3,3
Apple Magic Mouse,1,2,1,1,1,2
Apple Magic Mouse,2,2,2,2,2,2
Logitech,1,3,3,2,3,2
Corsair Dark core,2,2,2,2,2,2
Logitech,2,2,2,1,1,1
Razer DeathAdder Chroma,2,3,3,3,3,3
Logitech,2,2,1,2,2,2
Logitech,2,2,2,2,2,2
Logitech,2,3,2,3,2,3
Apple Magic Mouse,2,2,2,2,2,2
Logitech,2,2,1,1,2,1
Apple Magic Mouse,1,1,1,2,2,1
,2,2,3,3,2,2
,2,3,3,3,2,1
Microsoft Surface Mouse,2,3,3,3,2,2
Apple Magic Mouse,1,1,2,1,2,1
Microsoft Surface Mouse,2,3,2,1,3,1
Apple Magic Mouse,3,3,3,3,3,3
Microsoft Surface Mouse,2,3,3,3,2,3
Logitech,2,1,2,2,2,2
Logitech,3,3,3,1,2,1
Logitech,3,3,2,2,3,2
Logitech,1,2,2,2,2,2
Logitech,3,3,3,2,3,2
Microsoft Surface Mouse,2,2,2,2,2,2
Microsoft Surface Mouse,2,3,1,2,3,1
Logitech,1,2,2,2,2,2
Apple Magic Mouse,1,1,2,1,2,1
Razer DeathAdder Chroma,3,2,3,3,3,2
Logitech,1,2,2,1,2,2
Logitech,3,3,3,2,3,2
,2,3,2,3,2,2
,3,3,3,2,2,1
,2,3,3,3,3,1
Microsoft Surface Mouse,1,1,1,1,1,1
Logitech,2,3,3,3,3,2
Microsoft Surface Mouse,1,1,1,1,1,1
Logitech,2,2,2,2,2,2
Logitech,2,3,3,2,3,3
Microsoft Surface Mouse,1,2,2,3,2,2
Apple Magic Mouse,2,2,2,2,2,2
,3,3,3,3,3,3
Logitech,2,2,2,2,2,1
,3,3,3,3,3,3
,1,3,2,3,3,1
Apple Magic Mouse,2,2,2,2,2,2
,1,3,3,1,1,1
Apple Magic Mouse,3,3,3,3,3,3
Apple Magic Mouse,2,2,2,2,2,2
,2,2,2,2,2,2
,2,3,3,2,2,1
Logitech,2,2,2,2,2,2
Microsoft Surface Mouse,3,2,3,2,3,2
Logitech,3,3,3,2,2,1
Apple Magic Mouse,3,3,3,3,3,3
Microsoft Surface Mouse,3,3,3,3,2,2
Microsoft Surface Mouse,3,3,3,3,3,3
Logitech,3,3,3,3,3,2
Logitech,3,3,2,2,2,2
Logitech,2,3,3,2,3,1
Logitech,3,3,3,3,3,3
,3,3,2,3,3,1
Microsoft Surface Mouse,3,3,3,2,3,2
,2,1,2,1,1,1
Logitech,3,3,3,3,3,3
Logitech,1,2,3,3,3,3
Logitech,3,3,3,2,3,2
Logitech,2,2,1,2,1,1
Logitech,3,2,3,2,2,2
Microsoft Surface Mouse,3,3,3,2,2,3
Microsoft Surface Mouse,2,2,2,2,2,2
Microsoft Surface Mouse,3,3,3,2,3,2
,3,3,2,2,2,1
,3,3,2,2,3,1
Microsoft Surface Mouse,2,2,2,2,2,2
Logitech,3,3,3,3,3,3
Logitech,2,2,1,2,2,2
,3,2,3,2,3,1
Logitech,3,3,3,2,2,2
Logitech,3,3,3,3,3,3
,1,3,3,3,3,2
Logitech,3,3,3,2,3,1
,2,3,1,3,1,1
,3,3,3,2,3,1
,1,2,2,2,3,1
Logitech,3,2,3,1,3,1
,3,3,3,3,3,2
Apple Magic Mouse,1,2,1,1,2,2
Logitech,2,2,2,2,2,2
Razer DeathAdder Chroma,3,2,3,2,3,2
Logitech,3,3,3,2,3,3
Logitech,3,3,3,3,2,2
Logitech,3,3,3,3,3,3
,1,3,3,2,2,1
,3,3,3,3,3,1
Logitech,2,3,2,3,2,2
Microsoft Surface Mouse,3,3,3,2,2,3
,2,2,2,2,2,2
Microsoft Surface Mouse,3,3,3,3,3,3
Corsair Dark core,3,3,3,3,3,3
Microsoft Surface Mouse,2,3,3,3,3,2
,2,3,3,2,3,1
,2,3,3,3,3,3
Logitech,2,2,3,2,3,2
Microsoft Surface Mouse,3,3,3,3,3,3
Logitech,2,2,2,2,2,2
Corsair Dark core,3,3,3,3,3,3
Corsair Dark core,2,2,2,2,2,1
