Smartphone,Brand ,Price,Performance,Quality,Design,Operate Platform/system,Value,Get used to /Habit,Reputation,Services
Samsung,7,8,10,,,,,,,3
Xiaomi,,8,,,,,,,,
Huawei,7,8,,9,,,,,,3
Apple,7,,10,9,,,5,,,
Oppo,,,10,,,,,,,
Apple,7,,,,,,,,,
Huawei,,8,,,,4,,,,
Samsung,,8,,,,,,,,
Apple,,,,9,,,,,,
Xiaomi,,,10,,,,,,,
Vivo,,,,9,,,,,,
Apple,7,,10,9,6,4,,,,
Samsung,7,8,10,9,,,,,1,3
Google,,,10,,,4,,,,
Samsung,,,,,,,,2,,
Samsung,,,10,,,,,,,
Xiaomi,,8,10,,,,,,,
Oppo,7,,10,9,,,5,,,3
Google,7,8,10,,,,,,,
,,,,9,,,,,,
Xiaomi,,,,9,,,,,,
Xiaomi,,,,9,,,,,,
Xiaomi,,,,,,,,2,,
Samsung,7,,,9,,,,,,
Apple,7,,,,,,,,,
Apple,,8,10,,,,,,,
Apple,,,10,,,,,,,
Huawei,,8,10,9,6,,,,,
Apple,,,10,9,,4,,,,
,,,10,,,,,,,
Samsung,7,,10,9,,4,,,,
Vivo,7,8,10,,,4,,2,,
Motorola,,8,,,,,,,,
Samsung,7,8,10,9,,,,,,
Samsung,7,8,10,9,,,,2,1,
,,,,,6,,5,2,,
Xiaomi,7,8,,,,,,,,
Vivo,7,,,,,,,,,
Xiaomi,,8,,,,,,,,
Oneplus,7,,,,,,,,,
Xiaomi,7,,10,,6,,5,,,
Vivo,,,,9,,,,,,
Vivo,7,,10,9,6,4,,2,1,
Google,,8,10,,,4,,,,
Oneplus,,,,,,,5,,,
Samsung,,,,,,,,2,,
Vivo,7,,,,,,,,,
Xiaomi,,,,,,,5,,,
Xiaomi,,8,10,9,,4,,,,
Oppo,,8,10,9,,,,,,
Apple,7,,10,9,6,,5,,,
Vivo,,,10,,,,,,,
Oppo,,,10,9,,,5,,,3
Samsung,,8,10,9,,,5,,1,
Apple,7,,10,9,,4,,,,
,,,,9,,,,,,
Apple,,,10,9,6,,5,,1,3
Google,7,,,,,,,,,
Apple,,,,9,,,,,,
Vivo,7,,,9,6,,,,,3
Vivo,,8,,9,,,5,,,
Apple,7,,10,9,6,,,,,
Xiaomi,,8,10,,6,,,,1,
Oneplus,,8,10,9,6,,,,,
Xiaomi,,,,9,6,4,5,,,
Samsung,7,8,10,9,6,,,,,
Oppo,,,,9,,,,,,
Oneplus,7,8,,9,6,,,,,
,7,,10,,,4,,2,,
Xiaomi,,8,10,9,,,,2,,3
Vivo,7,8,10,9,6,4,5,,1,3
Xiaomi,,8,,,6,,,,,
Samsung,7,8,10,9,,,,,,
Samsung,,,10,,,,,,,
Xiaomi,7,8,10,9,6,,,,,3
Xiaomi,,8,10,9,6,,5,,,
Samsung,,,,9,,,,,,
Xiaomi,,8,10,9,,,,,,
Oppo,,8,10,,6,,,,,
Samsung,,,,,,,,2,,
Samsung,,,,,,,,2,,
Samsung,,,,,,,,2,,
Samsung,,8,10,,,4,5,,,
Samsung,,,,,,,,2,,
,,8,10,9,6,4,5,,,3
Oneplus,7,,10,9,,,,,1,3
,,,10,,,,,,,
Samsung,7,,,9,,,,,1,3
Samsung,7,8,10,9,6,,,,,
Huawei,,8,,,,,,,,
Oppo,,8,,9,6,,5,,1,3
Apple,,,10,9,6,,,,,
Apple,,,,9,6,,,2,,3
,,8,10,9,,,5,,,
Apple,,,,9,,4,5,,,3
Apple,7,,10,9,6,4,5,2,,
Oppo,7,8,,,6,,,,,
,,,10,,,,,,,
Vivo,7,8,10,,,,,,,
Oneplus,,,10,,,,,,,
Samsung,7,,,,6,,,2,,
Xiaomi,,8,10,9,6,4,5,,,
Vivo,,,10,,,,,,,
Oneplus,,,10,,6,,,,,
Samsung,,8,,,,,,,,
Xiaomi,,8,10,9,6,,,,,
,,8,,,,,,,,
,7,8,10,9,6,4,5,2,1,3
Xiaomi,,8,,9,6,,,,,
Xiaomi,7,8,10,9,,4,,,,
Huawei,,8,,,,,,,,
Vivo,,,,9,,,5,,1,
Samsung,,,,,,,,,,3
Xiaomi,,8,10,9,6,,,,,
Motorola,7,,10,9,6,,,,,
Vivo,,8,10,9,6,4,,,,
Vivo,,8,,,,,,,,
,,8,10,9,,,5,,,
